,locality
957,Deonar
958,Deonar
959,Ghatkopar 
960,Ghatkopar
961,Chembur
962,Chembur
963,Chembur
964,Sion Trombay Road
965,Ghatkopar
966,Ghatkopar
967,Ghatkopar
968,Nahur
969,Nehru Nagar
970,Powai
971,Ghatkopar 
972,Ghatkopar 
973,Ghatkopar 
974,Ghatkopar 
975,Ghatkopar 
976,Ghatkopar 
977,Ghatkopar 
978,Kanjurmarg 
979,Ghatkopar
980,Ghatkopar
981,Ghatkopar
982,Ghatkopar
983,Ghatkopar
984,Chembur 
985,Mulund
986,Vikhroli 
987,Ghatkopar
988,Ganesh Nagar
989,Chembur 
990,Chembur 
991,Chandivali
992,Ghatkopar 
993,Mulund
994,Kanjurmarg 
995,Chandivali
996,Pant Nagar
997,Powai
998,Powai
999,Powai
1000,Tilak nagar
1001,Tilak nagar
1002,Tilak nagar
1003,Chandivali
1004,Chembur
1005,Chembur
1006,Chembur 
1007,Chembur 
1008,Chembur 
1009,Chembur
1010,Ghatkopar 
1011,Mulund
1012,Powai
1013,Powai
1014,Powai
1015,Mulund
1016,Mulund
1017,Mulund
1018,Mulund
1019,Mulund
1020,Mulund
1021,Mulund
1022,Mulund
1023,Mulund
1024,Vikhroli 
1025,Tilak nagar
1026,Tilak nagar
1027,Sindhu Wadi
1028,Sion 
1029,Chembur
1030,Ghatkopar 
1031,Pant Nagar
1032,Chembur
1033,Powai
1034,Powai
1035,Mulund
1036,Mulund
1037,Powai
1038,Nahar Amrit Shakti
1039,Chembur
1040,Ghatkopar 
1041,Powai
1042,Powai
1043,Chandivali
1044,Chandivali
1045,Chandivali
1046,Powai
1047,Kurla 
1048,Chembur
1049,Chembur 
1050,Chembur
1051,Mulund
1052,Antop Hill
1053,Vikhroli 
1054,Govandi
1055,Chembur 
1056,Ghatkopar 
1057,Mulund
1058,Chembur 
1059,Chembur
1060,Mulund
1061,Antop Hill
1062,Vikhroli 
1063,Govandi
1064,Chembur 
1065,Mulund
1066,Chembur 
1067,Chembur 
1068,Chembur
1069,Mulund
1070,Antop Hill
1071,Vikhroli 
1072,Govandi
1073,Chembur 
1074,Mulund
1075,Chembur
1076,Chembur 
1077,Chembur
1078,Mulund
1079,Antop Hill
1080,Vikhroli 
1081,Govandi
1082,Chembur 
1083,Mulund
1084,Chembur
1085,Chembur 
1086,Chembur
1087,Mulund
1088,Antop Hill
1089,Vikhroli 
1090,Govandi
1091,Chembur 
1092,Powai
1093,Bhandup 
1094,Mulund
1095,Chandivali
1096,Powai
1097,Kurla 
1098,Mulund
1099,Bhandup 
1100,Mulund
1101,Powai
1102,Chembur 
1103,Chembur
1104,Mulund
1105,Antop Hill
1106,Vikhroli 
1107,Govandi
1108,Chembur 
1109,Powai
1110,Bhandup 
1111,Mulund
1112,Chandivali
1113,Powai
1114,Kurla 
1115,Mulund
1116,Bhandup 
1117,Kannamwar Nagar 2
1118,Tagore Nagar
1119,Mulund
1120,Kanjurmarg 
1121,Chandivali
1122,Kanjurmarg 
1123,Mulund
1124,Kanjurmarg 
1125,Kanjurmarg 
1126,Mulund
1127,Raheja Vihar
1128,Chembur
1129,Mulund
1130,Bhandup 
1131,Bhandup 
1132,Chembur
1133,Powai
1134,Mulund
1135,Kurla 
1136,Mulund
1137,Kanjurmarg west
1138,Mulund
1139,Bhandup 
1140,Powai
1141,Mulund
1142,Mulund
1143,Vikhroli 
1144,Khalai Village
1145,Ghatkopar 
1146,Nahur 
1147,Ghatla
1148,Mulund
1149,Mulund
1150,Kurla 
1151,Vikhroli 
1152,Ghatkopar 
1153,Mulund
1154,Kurla 
1155,Bhandup 
1156,Vidyavihar 
1157,Kanjurmarg 
1158,Powai
1159,Mulund
1160,Powai
1161,Sindhi Colony
1162,Mulund
1163,Chembur
1164,Govandi
1165,Bhandup 
1166,Ghatkopar 
1167,Mulund
1168,Mulund
1169,Kurla 
1170,Ghatkopar 
1171,Mulund
1172,Chembur
1173,Ghatkopar 
1174,Kanjurmarg 
1175,Chembur 
1176,Powai
1177,Ghatkopar 
1178,Powai
1179,Vikhroli 
1180,Vikhroli 
1181,Mulund
1182,Ghatkopar 
1183,Kurla 
1184,Powai
1185,Chembur
1186,Chembur
1187,Kanjurmarg 
1188,Ghatkopar 
1189,Chandivali
1190,Powai
1191,Chandivali
1192,Chembur
1193,Kurla 
1194,Pirojshanagar
1195,Pirojshanagar
1196,Powai
1197,Chembur
1198,Powai
1199,Bhandup 
1200,Mulund
1201,Mulund
1202,Powai
1203,Powai
1204,Kurla 
1205,Vikhroli 
1206,Kannamwar Nagar 1
1207,Pirojshanagar
1208,Mulund
1209,Mulund
1210,Powai
1211,Powai
1212,Mulund
1213,Vikhroli 
1214,Chembur
1215,Pirojshanagar
1216,Chembur
1217,Powai
1218,Ghatkopar 
1219,Maneklal Estate
1220,Ghatkopar 
1221,Ghatkopar 
1222,Mulund
1223,Vikhroli 
1224,Vikhroli 
1225,Powai
1226,Powai
1227,Chembur 
1228,Chembur
1229,Kurla 
1230,Powai
1231,Deonar
1232,Maneklal Estate
1233,Powai
1234,Kurla 
1235,Pant Nagar
1236,Mulund
1237,Mulund
1238,Powai
1239,Powai
1240,Taloja
1241,Panvel
1242,Sector 8 Sanpada
1243,Panvel
1244,Sector 20 Kopar Khairane
1245,Sector 9 Vashi
1246,Ulwe
1247,Karanjade
1248,Kopar Khairane
1249,Sector 19 Kharghar
1250,Sector 19 Kharghar
1251,Shilphata
1252,Panvel
1253,Karanjade
1254,Airoli
1255,Sector 24 Ulwe
1256,Sector 17 Ulwe
1257,Sector 35E Kharghar
1258,Sector 17 Vashi
1259,Kamothe
1260,Kamothe
1261,Old Panvel
1262,Kamothe
1263,Kamothe
1264,Navada Colony
1265,Sector 35 Kamothe
1266,Panvel
1267,Sector 35 Kamothe
1268,Ulwe
1269,Sector 35G Kharghar
1270,Sector 7 Kharghar
1271,Sector 20 Roadpali
1272,New Panvel
1273,Dronagiri
1274,Taloja Phase 2
1275,Kharghar
1276,New Panvel
1277,Sector 44A Seawoods
1278,Ranjanpada
1279,Sector 8A Airoli
1280,Belapur
1281,Adaigaon
1282,Ulwe
1283,Sanpada
1284,Sector 35 Kamothe
1285,Sector 21 Kamothe
1286,Sector 23 Kharghar
1287,Sector 7 Kharghar
1288,Sector 35 Kamothe
1289,Sector 22 Kamothe
1290,New Panvel
1291,Sector 35I Kharghar
1292,Karanjade
1293,Sector 22 Kamothe
1294,Kamothe
1295,Sector 8B Belapur
1296,Khanda Colony
1297,Ulwe
1298,Kamothe
1299,Sector 11 Kamothe
1300,Adaigaon
1301,Sector 18 Ulwe
1302,Sector 21 Kamothe
1303,Sector 9 Ulwe
1304,Kharghar
1305,Khanda Colony
1306,Sector 18 Kamothe
1307,Panvel
1308,Kamothe
1309,Ghansoli
1310,Kharghar
1311,Kamothe
1312,Kopar Khairane
1313,Panvel
1314,Kamothe
1315,Vihighar
1316,Pushpak Nagar
1317,Panvel
1318,Sector 8 Sanpada
1319,Panvel
1320,Sector 20 Kopar Khairane
1321,Sector 9 Vashi
1322,Ulwe
1323,Karanjade
1324,Kopar Khairane
1325,Sector 19 Kharghar
1326,Sector 19 Kharghar
1327,Shilphata
1328,Panvel
1329,Karanjade
1330,Airoli
1331,Sector 24 Ulwe
1332,Sector 17 Ulwe
1333,Sector 35E Kharghar
1334,Sector 17 Vashi
1335,Kamothe
1336,Kamothe
1337,Old Panvel
1338,Kamothe
1339,Kamothe
1340,Navada Colony
1341,Sector 35 Kamothe
1342,Panvel
1343,Sector 35 Kamothe
1344,Ulwe
1345,Sector 35G Kharghar
1346,Sector 7 Kharghar
1347,Sector 20 Roadpali
1348,New Panvel
1349,Dronagiri
1350,Taloja Phase 2
1351,Kharghar
1352,New Panvel
1353,Sector 44A Seawoods
1354,Ranjanpada
1355,Sector 8A Airoli
1356,Belapur
1357,Adaigaon
1358,Ulwe
1359,Sanpada
1360,Sector 35 Kamothe
1361,Sector 21 Kamothe
1362,Sector 23 Kharghar
1363,Sector 7 Kharghar
1364,Sector 35 Kamothe
1365,Sector 22 Kamothe
1366,New Panvel
1367,Sector 35I Kharghar
1368,Karanjade
1369,Sector 22 Kamothe
1370,Sector 9 Ulwe
1371,Kamothe
1372,Sector 8B Belapur
1373,Khanda Colony
1374,Ulwe
1375,Kamothe
1376,Sector 11 Kamothe
1377,Sector 18 Ulwe
1378,Sector 21 Kamothe
1379,Kharghar
1380,Khanda Colony
1381,Sector 18 Kamothe
1382,Panvel
1383,Kamothe
1384,Ghansoli
1385,Kharghar
1386,Kamothe
1387,Kopar Khairane
1388,Panvel
1389,Kamothe
1390,Adaigaon
1391,Vihighar
1392,Usarli Khurd
1393,Sector 9 Vashi
1394,Sector 17 Vashi
1395,Vashi
1396,Sector 19D Vashi
1397,Sector 29 Vashi
1398,Sector 19A Vashi
1399,Sector 15 Vashi
1400,Sector 28 Vashi
1401,Sector 17 Vashi
1402,Sector 29 Vashi
1403,Sector 16 Vashi
1404,Sector 15 Vashi
1405,Vashi
1406,Vashi
1407,Sector 28 Vashi
1408,Vashi
1409,Sector 10 Vashi
1410,Sector 14 Vashi
1411,Sector 31 Vashi
1412,Sector 17 Vashi
1413,Sector 12 Vashi
1414,Sector 28 Vashi
1415,Sector 28 Vashi
1416,Sector 30A Vashi
1417,Vashi
1418,Vashi
1419,Sector 26 Vashi
1420,Sector 12 Vashi
1421,Sector 12 Vashi
1422,Sector 12 Vashi
1423,Sector 26 Vashi
1424,Sector 26 Vashi
1425,Vashi
1426,Sector 29 Vashi
1427,Sector 12 Vashi
1428,Sector 12 Vashi
1429,Vashi
1430,Sector 12 Vashi
1431,Sector 12 Vashi
1432,Sector 12 Vashi
1433,Sector 15 Vashi
1434,Sector 28 Vashi
1435,Vashi
1436,Sector 26 Vashi
1437,Sector 12 Vashi
1438,Sector 16 Vashi
1439,Vashi
1440,Sector 14 Vashi
1441,Vashi
1442,Vashi
1443,Vashi
1444,Sector 16 Vashi
1445,Vashi
1446,Sector 26 Vashi
1447,Vashi
1448,Sector 6 Vashi
1449,Sector 9A Vashi
1450,Sector 9A Vashi
1451,Sector 9A Vashi
1452,Sector 6 Vashi
1453,Sector 17 Vashi
1454,Sector 6 Vashi
1455,Vashi
1456,Sector 30 Vashi
1457,Vashi
1458,Sector 9 Vashi
1459,Vashi
1460,Sector 12 Vashi
1461,Sector 12 Vashi
1462,Sector 28 Vashi
1463,Sector 29 Vashi
1464,Vashi
1465,Sector 28 Vashi
1466,Vashi
1467,Sector 7 Vashi
1468,Sector 26 Vashi
1469,Sector 14 Vashi
1470,Vashi
1471,Sector 12 Vashi
1472,Sector 28 Vashi
1473,Sector 12 Vashi
1474,Vashi
1475,Vashi
1476,Sector 12 Vashi
1477,Sector 19 Vashi
1478,Sector 19 Vashi
1479,Sector 19 Vashi
1480,Vashi
1481,Vashi
1482,Sector 28 Vashi
1483,Sector 28 Vashi
1484,Sector 2 Vashi
1485,Vashi
1486,Sector 28 Vashi
1487,Sector 19 Vashi
1488,Vashi
1489,Vashi
1490,Vashi
1491,Vashi
1492,Vashi
1493,Vashi
1494,Vashi
1495,Sector 16 Vashi
1496,Sector 19 Vashi
1497,Sector 14 Vashi
1498,Sector 9 Vashi
1499,Sector 15 Vashi
1500,Sector 12 Vashi
1501,Sector 17 Vashi
1502,Vashi
1503,Sector 15 Vashi
1504,Sector 14 Vashi
1505,Vashi
1506,Vashi
1507,Sector 16 Vashi
1508,Vashi
1509,Sector 12 Vashi
1510,Sector 12 Vashi
1511,Sector 26 Vashi
1512,Vashi
