price,price_per_sqft,area,bedrooms,floor_number,is_floor_availabe,area_type,is_area_type_availabe,property_age,is_property_age_availabe,bathroom,property_type,locality
2.8,34146,820,2,higher_floor,1,Carpet Area,1,new_property,1,2,flat,Ghatkopar 
4,38240,1673,5,higher_floor,1,Super Built-up Area,1,new_property,1,2,flat,Ghatkopar 
5.5,23706,2320,4,middle_floor,1,Super Built-up Area,1,new_property,1,3,flat,Ganesh Nagar
5.25,44871,1872,3,higher_floor,1,Super Built-up Area,1,not_specify,0,2,flat,Ghatkopar 
6,51282,1872,3,middle_floor,1,Super Built-up Area,1,not_specify,0,2,flat,Ghatkopar 
4.85,26944,1800,2,middle_floor,1,Super Built-up Area,1,new_property,1,2,flat,Chembur 
2.1,34257,613,2,lower_floor,1,Carpet Area,1,new_property,1,2,flat,Chandivali
3.85,23333,1650,3,lower_floor,1,Super Built-up Area,1,new_property,1,3,flat,Swastik Park
3.8,39583,960,2,higher_floor,1,Super Built-up Area,1,moderately_new,1,2,flat,Powai
2.9,30526,950,2,higher_floor,1,Carpet Area,1,new_property,1,2,flat,Pant Nagar
2.79,34340,1150,2,middle_floor,1,Carpet Area,1,new_property,1,2,flat,Powai
0.92,23589,390,1,middle_floor,1,Carpet Area,1,new_property,1,1,flat,Chembur
3,30000,1000,3,higher_floor,1,Carpet Area,1,new_property,1,3,flat,Tilak nagar
3.9,23311,1673,3,lower_floor,1,Super Built-up Area,1,not_specify,0,2,flat,Ghatkopar 
2.15,30281,710,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Ghatkopar 
2.99,27181,1100,3,middle_floor,1,Super Built-up Area,1,new_property,1,3,flat,Ghatkopar 
2.55,24472,1042,2,higher_floor,1,Super Built-up Area,1,new_property,1,2,flat,Chandivali
2.35,29301,802,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Mulund
2.25,28054,802,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Mulund
2.05,29710,690,2,higher_floor,1,Not Specified,0,not_specify,0,2,flat,Mulund
2.07,30000,690,2,higher_floor,1,Not Specified,0,not_specify,0,2,flat,Mulund
3.35,31723,1056,3,Not Specified,0,Not Specified,0,not_specify,0,3,flat,Mulund
3.33,31534,1056,3,Not Specified,0,Not Specified,0,not_specify,0,3,flat,Mulund
2.27,28304,802,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Mulund
3.35,32461,1032,4,Not Specified,0,Not Specified,0,not_specify,0,3,flat,Mulund
3.75,32244,1163,3,higher_floor,1,Built-up Area,1,new_property,1,3,flat,Kanjurmarg 
1.95,26639,732,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Mulund
2.75,38732,710,2,middle_floor,1,Carpet Area,1,new_property,1,2,flat,Chembur
3,28571,1050,3,lower_floor,1,Not Specified,0,not_specify,0,3,flat,Chembur
1.6,40000,400,1,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Powai
5.8,40559,1430,3,higher_floor,1,Built-up Area,1,moderately_new,1,3,flat,Powai
3.8,36121,1052,3,higher_floor,1,Carpet Area,1,new_property,1,3,flat,Deonar
4.1,52767,777,2,higher_floor,1,Carpet Area,1,new_property,1,2,flat,Powai
14.5,47854,3030,6,Not Specified,0,Not Specified,0,not_specify,0,5,flat,Chembur
0.95,21493,442,1,higher_floor,1,Carpet Area,1,new_property,1,2,flat,Bhandup 
4.21,29215,1441,3,Not Specified,0,Carpet Area,1,not_specify,0,2,flat,Mulund
2.9,48482,598,2,lower_floor,1,Carpet Area,1,new_property,1,2,flat,Powai
6.99,46600,1500,3,higher_floor,1,Super Built-up Area,1,new_property,1,3,flat,Powai
4.4,32592,1350,3,higher_floor,1,Super Built-up Area,1,new_property,1,4,flat,Powai
1.35,19295,699,2,higher_floor,1,Super Built-up Area,1,new_property,1,2,flat,Tagore Nagar
1.4,32183,435,1,lower_floor,1,Carpet Area,1,not_specify,0,1,flat,Chandivali
3.08,40848,754,2,middle_floor,1,Carpet Area,1,new_property,1,2,flat,Chembur
3.8,27142,1400,3,lower_floor,1,Carpet Area,1,not_specify,0,2,flat,Chembur
7.15,27929,2560,3,higher_floor,1,Super Built-up Area,1,new_property,1,2,flat,Chembur
2.6,28484,912,3,higher_floor,1,Carpet Area,1,not_specify,0,3,flat,Mulund
3.75,26023,1441,3,higher_floor,1,Super Built-up Area,1,new_property,1,2,flat,Mulund
7.5,44589,1682,3,higher_floor,1,Carpet Area,1,not_specify,0,3,flat,Deonar
5.85,41489,1410,4,middle_floor,1,Carpet Area,1,not_specify,0,4,flat,Chembur
4.85,42882,1131,3,higher_floor,1,Carpet Area,1,not_specify,0,3,flat,Chembur
5.5,44534,1235,3,higher_floor,1,Carpet Area,1,not_specify,0,3,flat,Chembur
1.48,22735,650,2,Not Specified,0,Not Specified,0,not_specify,0,1,flat,Kurla 
2.65,24868,1065,2,higher_floor,1,Super Built-up Area,1,not_specify,0,2,flat,Powai
3,37974,790,2,higher_floor,1,Carpet Area,1,new_property,1,2,flat,Chembur 
2.34,34411,680,2,higher_floor,1,Carpet Area,1,not_specify,0,2,flat,Chandivali
